Id da matrícula: null, Nome: Arlindo, Email: arlindo@gmail.com, Período: 
Id da matrícula: null, Nome: arlindo, Email: teste@gmail.com, Período: 
Id da matrícula: null, Nome: astolfi, Email: test@gmail, Período: 
Id da matrícula: 1d36467c-4e20-4476-a496-49e10a0b121f, Nome: arlindo, Email: teste@gmail.com, Período: 
Id da matrícula: 6e91cca9-e67c-4ff8-974f-79b888a14b12, Nome: astolfi, Email: test@gmail, Período: 
Id da matrícula: 7af0913c-d178-4a3b-be74-50d388118561, Nome: astolfi, Email: test@gmail, Período: 2025-08-28
Id da matrícula: 9bcfc72e-e6a8-4f2a-95a5-322e59b0402f, Nome: arlindo, Email: teste@gmail.com, Período: 2025-08-29
Id da matrícula: b439a3d9-23fa-4c01-b691-2a7c76db68bd, Nome: arlindo, Email: teste@gmail.com, Período: 2025-08-30
Id da matrícula: 548c693d-bf2e-4533-b57f-9fac0d235f2f, Nome: arlindo, Email: teste@gmail.com, Período: 2025-09-20
Id da matrícula: ef0e94b9-face-4bee-95f8-62a529375afc, Nome: astolfi, Email: test@gmail, Período: 2025-09-28
Id da matrícula: 7a063690-80cb-41a1-8ef6-e908f96a44b5, Nome: astolfi, Email: test@gmail, Período: 2025-10-08
Id da matrícula: 87c99662-87d6-494b-a5e4-391ee81a05db, Nome: arlindo, Email: teste@gmail.com, Período: 2025-10-09
Id da matrícula: 66a32a9a-11c2-49d7-b7a5-ad4a3ef42978, Nome: arlindo, Email: teste@gmail.com, Período: 2025-10-08
Id da matrícula: bde49f4f-c9cb-4245-8af1-5ae1d620aeb3, Nome: arlindo, Email: teste@gmail.com, Período: 2025-10-09
Id da matrícula: 13a52bae-b441-4666-aee4-0033332ea3fd, Nome: arlindo, Email: teste@gmail.com, Período: 2025-08-28
Id da matrícula: d9698982-aa89-45bb-89d0-95a3a6c89199, Nome: arlindo, Email: teste@gmail.com, Período: 2025-10-09
Id da matrícula: 7cc2e512-a98d-457a-a837-87dd10b321a3, Nome: astolfi, Email: test@gmail, Período: 2025-10-09
Id da matrícula: 346fea9c-3f17-4cb7-bc2a-b35243fac24a, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 147c7187-80d9-4a20-8a0c-d6bf2d87fd07, Nome: astolfi, Email: test@gmail
Id da matrícula: a32273c2-524c-457a-9fa2-be4d43300fdf, Nome: astolfi, Email: test@gmail
Id da matrícula: c0719d43-d1e6-4a92-833a-96f341bd8841, Nome: astolfi, Email: test@gmail
Id da matrícula: 65495230-6629-41c4-9fe6-71fb3a9a4777, Nome: astolfi, Email: test@gmail
Id da matrícula: d163e625-601a-46fb-9117-f8b852ce5994, Nome: astolfi, Email: test@gmail
Id da matrícula: 3f3d2f29-baac-4d8c-8f36-b60f77678d91, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 89734c7a-27f2-4a6c-bcac-3d01b1362766, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 278ff3af-6c1e-4961-b081-3aec74555511, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 744c55a3-8a31-4161-b067-2aea4bd307f3, Nome: astolfi, Email: test@gmail
Id da matrícula: 3b2cdef4-9716-4c42-a4e6-9f7c68c931e1, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 2e4be87f-abb7-451f-a55f-ccd6e2e83fa4, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 93f32194-8855-4fdf-8e2c-1faf85bbd1b2, Nome: astolfi, Email: test@gmail
Id da matrícula: 84ffef07-b56e-4ba6-badf-d930aaf04dfc, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 6a10b217-0cc1-42ce-923b-0719731910e0, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 020579db-e6aa-4369-82aa-b5bae28dcc20, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 6a72f958-4460-4edd-901e-a94593618a14, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 4215b82a-1627-450d-8ddf-f4ea7342f493, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 7e84bb1e-4fe1-4473-8d1e-ae01728b1714, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: c693313a-5eb2-42a4-a4e5-f305945712b1, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 5afe4dbc-939e-4901-9cb0-b6570b21ac92, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 0f8277ed-3dd0-446d-895f-7922ca208e99, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 08737e4e-4bf4-4474-bff7-2c1220d1e4d0, Nome: arlindo, Email: teste@gmail.com
Id da matrícula: 83eac2bf-833e-4b23-9c3c-221a4f73fc8e, Nome: arlindo, Email: teste@gmail.com
